Price,Quantity
185,120
230,850
175,300
320,200
145,1200
290,180
210,600
195,400
165,280
280,150
130,2100
190,3800
425,650
170,450
148,1150
125,1950
108,7200
245,380
158,3500
205,1100
160,150
110,4500
298,160
185,90
40,6500
230,450
75,5200
275,300
82,250
230,550
205,120
185,350
48,4800
205,110
145,320
195,280
220,1100
60,7500
82,3200
172,700
185,550
295,3600
230,220
300,120
195,80
172,300
98,100
230,280
125,2700
98,3800
105,8000
172,1900
128,450
160,180
185,850
230,190
175,2500
86,20000
205,110
173,1600
232,18000
82,1800
172,2700
187,3100
155,9800
125,550
190,1350
240,8500
103,4200
275,120
185,1000
130,3200
230,800
170,850
107,500
126,2200
260,2300
154,400
135,1100
156,8500
82,1000
210,1150
78,3400
82,1950
205,110
185,3300
195,450
205,450
131,2100
32,8500
123,800
185,1100
275,200
160,420
97,1150
380,1100
174,1600
205,110
173,900
172,1100
160,3500
185,250
104,3000
205,280
145,2700
320,480
172,450
185,120
99,8700
230,1750
195,220
185,5300
115,650
158,3100
185,550
220,1000
172,350
300,500
145,2400
72,1550
166,320
185,2100
310,1750
172,2200
205,110
230,220
168,4300
186,1100
205,1100
330,2000
230,550
246,220
125,580
166,220
55,1200
195,220
139,3200
385,1900
192,5000
205,110
273,120
205,550
230,220
97,1950
425,1500
160,800
123,140
91,1850
97,3700
185,800
300,2400
123,700
149,520
123,180
340,320
160,180
300,600
160,1900
185,180
146,800
230,480
195,320
165,10500
153,3250
345,120
242,450
185,220
205,1150
191,2700
160,180
197,210
129,1150
164,2400
253,520
170,550
205,1150
370,130
100,10800
195,1100
190,2200
172,320
230,2700
80,2700
185,280
98,3200
253,650
217,220
54,180
166,320
205,280
75,2700
164,800
173,550
170,3700
190,850
190,400
160,120
234,550
156,2100
189,500
174,520
185,120
243,450
43,6700
135,200
205,550
205,450
107,4400
288,120
275,220
88,1450
230,3200
166,500
520,550
142,1600
100,7000
186,220
122,600
205,180
185,180
146,950
205,280
185,220
205,110
205,140
160,320
90,2600
87,1600
80,10500
136,1000
185,280
230,550
176,280
151,850
41,4400
172,800
190,550
137,2200
300,700
64,4300
139,1850
74,1100
109,1450
160,280
201,320
173,6700
292,6400
181,2200
152,3700
154,2200
185,180
195,220
128,900
185,230
185,240
230,220
185,2550
185,1200
142,800
214,180
205,320
118,1100
106,4300
118,1400
298,220
205,3000
160,550
160,400
173,4300
288,150
192,2200
205,180
185,550
185,220
230,120
185,380
230,120
200,1400
230,180
86,650
73,1650
195,550
195,340
120,550
275,180
253,320
172,1100
168,5300
78,3000
175,1100
205,450
226,80
230,1150
460,450
242,24500
62,2600
575,1100
132,2200
288,250
160,450
93,850
122,3500
185,90
158,850
160,380
160,750
234,550
146,1050
840,2100
172,320
195,450
252,3200
205,9500
230,320
198,4800
185,280
204,550
172,550
350,450
195,120
107,1700
275,120
172,320
185,220
275,150
172,320
230,800
205,550
185,320
160,8000
143,1300
159,1250
185,320
138,1400
160,280
157,550
135,80
242,450
89,850
370,350
141,550
253,250
160,4300
107,2850
165,4300
275,2200
140,120
185,1100
253,600
160,3400
178,650
185,1200
204,480
82,2200
345,120
157,1100
390,480
32,120
185,320
82,18700
160,320
188,1150
146,18000
185,600
84,3200
275,160
123,370
75,950
52,1600
275,550
173,2200
160,450
214,1150
300,550
230,1100
166,1600
110,1750
230,180
205,180
177,2200
110,1800
172,650
230,550
346,10000
185,650
238,320
205,2100
205,800
179,180
138,1600
195,1400
185,550
14,720
205,800
188,5400
249,240
205,110
351,2150
173,950
172,550
250,1250
118,1100
185,280
115,1550
166,2700
175,1100
166,2400
172,120
275,550
185,280
84,4300
230,120
305,6400
135,1850
78,4600
205,280
159,2400
149,800
235,350
172,1100
230,120
185,320
34,8900
93,1100
96,3400
640,2200
275,180
144,1000
260,550
185,550
230,220
230,550
185,240
100,2600
107,380
171,550
205,850
140,950
205,240
230,280
